Metric,Value
design__io,78
design__die__area,395471
design__core__area,373538
design__instance__count,21791
design__instance__area,215208
design__instance__count__stdcell,21791
design__instance__area__stdcell,215208
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.576133
design__instance__utilization__stdcell,0.576133
design__instance__count__class:fill_cell,376
design__instance__count__class:tap_cell,5320
design__instance__count__class:clock_buffer,290
design__instance__count__class:timing_repair_buffer,340
design__instance__count__class:inverter,78
design__instance__count__class:clock_inverter,189
design__instance__count__class:sequential_cell,2994
design__instance__count__class:multi_input_combinational_cell,12580
design__instance__displacement__total,10981.5
design__instance__displacement__mean,0.495
design__instance__displacement__max,27.6
route__wirelength__estimated,680074
design__violations,0
flow__warnings__count,1
flow__errors__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0363363
power__switching__total,0.0217519
power__leakage__total,1.02295E-7
power__total,0.0580883
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.693486
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.693618
timing__hold__ws__corner:nom_tt_025C_1v80,-0.145514
timing__setup__ws__corner:nom_tt_025C_1v80,-0.81537
timing__hold__tns__corner:nom_tt_025C_1v80,-8.26327
timing__setup__tns__corner:nom_tt_025C_1v80,-677.195
timing__hold__wns__corner:nom_tt_025C_1v80,-0.145514
timing__setup__wns__corner:nom_tt_025C_1v80,-0.81537
timing__hold_vio__count__corner:nom_tt_025C_1v80,1340
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,-0.145514
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,1340
timing__setup_vio__count__corner:nom_tt_025C_1v80,1755
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,-0.81537
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,1755
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.693486
clock__skew__worst_setup,0.693618
timing__hold__ws,-0.145514
timing__setup__ws,-0.81537
timing__hold__tns,-8.26327
timing__setup__tns,-677.195
timing__hold__wns,-0.145514
timing__setup__wns,-0.81537
timing__hold_vio__count,1340
timing__hold_r2r__ws,-0.145514
timing__hold_r2r_vio__count,1340
timing__setup_vio__count,1755
timing__setup_r2r__ws,-0.81537
timing__setup_r2r_vio__count,1755
