design,method,n_evals,n_pareto,elapsed_s,hypervolume,min_power_mW,min_wl_mm,min_skew_ns
aes,random,100000,14,609.17,29.475871,57.4621,671.6608,0.7141
aes,sobol,100000,10,561.16,29.436889,57.4621,671.6209,0.7141
aes,nsga2,50000,500,4.13,29.47262,57.4621,671.5028,0.7141
picorv32,random,100000,26,603.12,5.113165,32.5043,224.1599,0.5306
picorv32,sobol,100000,18,567.47,5.132506,32.5043,224.2195,0.5306
picorv32,nsga2,50000,500,5.42,5.11211,32.5043,224.1117,0.5306
sha256,random,100000,29,604.56,4.792419,12.6915,433.1249,0.5343
sha256,sobol,100000,21,563.48,3.702606,12.6915,433.1834,0.5342
sha256,nsga2,50000,500,5.91,4.214773,12.6915,433.0465,0.5342
ethmac,random,100000,31,606.56,78.478477,67.8951,1393.2562,0.7015
ethmac,sobol,100000,27,566.62,77.990009,67.8951,1392.8598,0.7015
ethmac,nsga2,50000,500,5.59,78.623766,67.8951,1392.4083,0.7015
oc_jpegencode,random,100000,11,602.78,1436.718068,189.637,6695.4004,1.0574
oc_jpegencode,sobol,100000,15,562.8,1456.046894,189.637,6692.41,1.0574
oc_jpegencode,nsga2,50000,500,4.92,1456.003498,189.637,6689.8075,1.0574
zipdiv,random,100000,43,601.28,0.043003,2.7954,22.039,0.4989
zipdiv,sobol,100000,51,554.17,0.042782,2.7954,22.0425,0.4989
zipdiv,nsga2,50000,500,5.13,0.042804,2.7954,22.033,0.4988
