cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,27,233,136,12.69153192797546,433.75091675886307,0.537278853349327
70,24,254,144,12.69153192797546,433.95664313528954,0.5368825000373911
70,13,259,118,12.69153192797546,435.60103011059465,0.5347858228500544
70,22,265,137,12.69153192797546,434.22593683780366,0.5358284983020161
70,12,258,77,12.69153192797546,436.5107000176399,0.5342183056784271
70,29,207,144,12.69153192797546,433.3917078310061,0.5375881141194236
70,14,256,142,12.69153192797546,434.93937651346005,0.5351411411746078
70,30,216,134,12.69153192797546,433.4928704215387,0.5373490995164716
70,30,258,150,12.69153192797546,433.25219642611466,0.5380623451935326
70,30,224,143,12.69153192797546,433.3407965980502,0.5377325058960836
70,30,171,147,12.69153192797546,433.1834374043616,0.5412899540793664
70,15,260,73,12.69153192797546,436.1404195184776,0.5347063283642017
70,21,258,140,12.69153192797546,434.23138468215143,0.5355019800875884
70,23,223,146,12.69153192797546,433.9468831713938,0.537101910496229
70,29,214,147,12.69153192797546,433.34846414187837,0.537688616960682
70,12,260,149,12.69153192797546,435.13509611036835,0.5349905047592342
70,22,249,149,12.69153192797546,434.00244301374437,0.5359300293392485
70,28,203,133,12.69153192797546,433.6753855304693,0.5373168165203753
69,14,258,138,12.710622325190311,435.4380192007123,0.5349245714256746
68,22,259,139,12.710622325190311,434.7993189910958,0.5354441718504891
69,15,260,135,12.710622325190311,435.3601482251721,0.5349575146287653
